ZorkID,Room Name,Room Description,Styling
212,Altar,This is the south end of a large temple. In front of you is what appears to be an altar. In one corner is a small hole in the floor which leads into darkness.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
29,Aragain Falls,"You are at the top of Aragain Falls, an enormous waterfall with a drop of about 450 feet. The only path here is on the north end.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
187,Atlantis Room,"This is an ancient room, long under water until a recent earthquake drained it. There is a passageway to the southeast and a staircase leads up from here.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
201,Attic,This is the attic. The only exit is a stairway leading down. A large coil of rope is lying in the corner. On a table is a nasty-looking knife.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
222,Bat Room,You are in a small room which has doors only to the east and south.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
79,Behind House,You are behind the white house. A path leads into the forest to the east. In one corner of the house there is a small window which is slightly ajar.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
27,Canyon Bottom,You are beneath the walls of the river canyon which may be climbable here. The lesser part of the runoff of Aragain Falls flows by below. To the north is a narrow path.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
25,Canyon View,"You are at the top of the Great Canyon on its west wall. From here there is a marvelous view of the canyon and parts of the Frigid River upstream. Across the canyon, the walls of the White Cliffs join the mighty ramparts of the Flathead Mountains to the east. Following the Canyon upstream to the north, Aragain Falls may be seen, complete with rainbow.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
47,Cave (Small),"This is a tiny cave with entrances west and north, and a dark, forbidding staircase leading down.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
46,Cave (Tiny),"This is a tiny cave with entrances west and north, and a dark, forbidding staircase leading down.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
72,Cellar,"You are in a dark and damp cellar with a narrow passageway leading north, and a crawlway to the south. On the west is the bottom of a steep metal ramp which is unclimbable.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
37,Chasm,"A chasm runs southwest to northeast and the path follows it. You are on the south side of the chasm, where a crack opens into a passage.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
74,Clearing,"You are in a clearing, with a forest surrounding you on all sides. A path leads south.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
16,Coal Mine 1,This is a non-descript part of a coal mine.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
17,Coal Mine 2,This is a non-descript part of a coal mine.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
18,Coal Mine 3,This is a non-descript part of a coal mine.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
19,Coal Mine 4,This is a non-descript part of a coal mine.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
45,Cold Passage,This is a cold and damp corridor where a long east-west passageway turns into a southward path.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
185,Cyclops Room,"This room has an exit on the northwest, and a staircase leading up.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
215,Dam,"You are standing on the top of the Flood Control Dam #3, which was quite a tourist attraction in times far distant. There are paths to the north, south, and west, and a scramble down.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
140,Dam Base,"You are at the base of Flood Control Dam #3, which looms above you and to the north. The river Frigid is flowing by here. Along the river south is a sandy beach. A crack opens to the northwest.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
154,Dam Lobby,This room appears to have been the waiting room for groups touring the dam. There are exits to the north and east.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
39,Damp Cave,"This cave has exits to the west and east, and narrows to a crack toward the south. The earth is damp here.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
55,Dead End,You have come to a dead end in the maze.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
61,Dead End,You have come to a dead end in the maze.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
65,Dead End,You have come to a dead end in the maze.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
66,Dead End,You have come to a dead end in the maze.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
118,Dead End,You have come to a dead end in the mine.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
40,Deep Canyon,"You are on the south edge of a deep canyon. Passages lead off to the east, northwest and southwest. A stairway leads down. You can hear the sound of flowing water from below.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
133,Dome Room,"You are at the periphery of a large dome, which forms the ceiling of another room below. Protecting you from a precipitous drop is a wooden railing which circles the dome.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
228,Drafty Room,This is a small drafty room in which is the bottom of a long shaft. To the south is a passage and to the east a door.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
71,East of Chasm,"You are on the east edge of a chasm, the bottom of which cannot be seen. A narrow passage goes north, and the path you are on continues to the east.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
41,East-West Passage,West Passage - This is a narrow east-west passageway. There is a narrow stairway leading down at the north end of the room.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
175,Egyptian Room,This is a room which looks like an Egyptian tomb. There is an ascending staircase to the west.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
136,End of Rainbow,"You are on a small, rocky beach on the continuation of the Frigid River past the Falls. The beach is narrow due to the presence of the White Cliffs. The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the east and a narrow path continues to the southwest.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
96,Engravings Cave,You have entered a low cave with passages leading northwest and east. There are old engravings on the walls here.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
232,Entrance to Hades,"You are outside a large gateway, on which is inscribed 'Abandon every hope all ye who enter here!' The gate is open; through it you can see a desolation, with a pile of mangled bodies in one corner.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
239,Forest (Mountains),"The forest thins out, revealing impassable mountains.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
76,Forest 1,"This is a forest, with trees in all directions.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
77,Forest 2,"This is a forest, with trees in all directions. To the east, there appears to be sunlight.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
78,Forest 3,"This is a dimly lit forest, with large trees all around.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
75,Forest Path,This is a path winding through a dimly lit forest. The path heads north-south here. One particularly large tree with some low branches stands at the edge of the path.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
31,Frigid River,The sound of rushing water is nearly unbearable here. On the east shore is a large landing area.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
34,Frigid River,The river turns a corner here making it impossible to see the Dam. The White Cliffs loom on the east bank and large rocks prevent landing on the west.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
35,Frigid River,The river descends here into a valley. There is a narrow beach on the west shore below the cliffs. In the distance a faint rumbling can be heard.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
36,Frigid River,The river is running faster here and the sound ahead appears to be that of rushing water. On the east shore is a sandy beach. A small area of beach can also be seen below the cliffs on the west shore.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
156,Frigid River (In Boat),You are on the Frigid River in the vicinity of the Dam. The river flows quietly here. There is a landing on the west shore.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
148,Gallery,"This is an art gallery. Most of the paintings have been stolen by vandals with exceptional taste. The vandals left through either the north or west drop, you can't tell which. However, there is still one beautiful painting on the wall.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
124,Gas Room,This is a small room which smells strongly of coal gas.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
143,Grating Clearing,You are in a small clearing in a well marked forest path that extends to the east and west.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
57,Grating Room,You are in a small room near the maze. There is a grating securely fastened in the ceiling.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
203,Kitchen,You are in the kitchen of the white house. A table seems to have been used recently for the preparation of food. A passage leads to the west and a dark staircase can be seen leading upward.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
20,Ladder Bottom,"This is a rather wide room. On one side is the bottom of a narrow wooden ladder. To the south is a small hole through which a dim light can be seen, and to the northwest a passage opens to the west.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
21,Ladder Top,"This is a very small room. In the corner is a rickety wooden ladder, leading downward. It might be safe to climb down. There is also a trap door above leading up.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
230,Land of the Dead,You have entered the Land of the Living Dead. Thousands of lost souls can be heard weeping and moaning. In the distance the outline of a figure can be seen.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
193,Living Room,"You are in the living room. There is a doorway to the east, a wooden door with strange gothic lettering to the west, which appears to be nailed shut, a trophy case, and a large oriental rug in the center of the room.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
138,Loud Room,This is a large room with a ceiling which cannot be detected from the ground. There is a narrow passage from east to west and a stone stairway leading upward. The room is deafeningly loud with an incessant roar.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
157,Machine Room,"This is a large, cold room whose sole exit is to the north. In one corner there is a machine which is reminiscent of a clothes dryer.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
199,Maintenance Room,"This is what appears to have been the maintenance room for Flood Control Dam #3. Apparently, the dam is controlled by a large green bubble on a panel here.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
53,Maze,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
54,Maze,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
56,Maze,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
58,Maze,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
59,Maze,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
60,Maze,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
62,Maze,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
69,Maze,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
52,Maze 1,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
63,Maze 2,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
64,Maze 3,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
67,Maze 4,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
68,Maze 5,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
70,Maze 6,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
167,Maze 7,A long dark stone corridor.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
24,Mine Entrance,You are standing at the entrance of what might have been a coal mine. The shaft entrance is to the south.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
150,Mirror Room (North),You are in a large square room with tall ceilings. On the south wall is an enormous mirror which fills the entire wall. There are exits on the other three sides of the room.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
152,Mirror Room (South),You are in a large square room with tall ceilings. On the north wall is an enormous mirror which fills the entire wall. There are exits on the other three sides of the room.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
44,Narrow Passage,This is a narrow passage. The walls here are formed by the roots of ancient trees intertwined with rock and soil.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
81,North of House,"You are facing the north side of a white house. There is no door here, and all the windows are boarded up. To the north a narrow path winds through the trees.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
38,North-South Passage,"South Passage - This is a high north-south passage, which forks to the northeast.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
28,On the Rainbow,"You are on top of a rainbow spanning the Falls, amidst colorful splashing light and great clouds of mist.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
100,Reservoir,"You are on what used to be a large lake, but which is now a large mud pile. There are 'shores' to the north and south.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
172,Reservoir North,"You are in a large cavernous room, the south of which was formerly a lake. However, with the water level lowered, there is merely a wide stream running through the center of the room.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
50,Reservoir South,"You are in a long room on the south shore of a large lake, far too deep and wide for crossing. There is a path along the stream to the west and a passage leading east.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
26,Rocky Ledge,"You are on a ledge about halfway up the wall of the river canyon. You can see from here that the river turns a corner to the northeast. At the point of the turn, it widens into a large lake.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
107,Round Room,This is a circular stone room with passages in all directions. Several of them have unfortunately been blocked by cave-ins.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
120,Sandy Beach,"You are on a large sandy beach on the east shore of the river, which is flowing quickly by. A path runs beside the river to the north, and a passage heads into the cliffs to the east.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
126,Sandy Cave,This is a sand-filled cave whose exit is to the southwest.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
226,Shaft Room,"This is a large room, in the middle of which is a small shaft descending through the floor into darkness below. To the west and the north are exits.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
30,Shore,You are on the east shore of the river. The water here seems somewhat treacherous. A path travels along the shore to the south.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
15,Slide Room,"This is a small chamber, which appears to have been part of a coal mine. On the south wall of the chamber the letters 'Granite Wall' are etched in theite rock. To the north is a low passage. A slide runs down from the northwest.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
22,Smelly Room,"This is a small non-descript room. However, from the direction of a small descending staircase a foul odor can be detected. To the east is a narrow corridor.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
80,South of House,"You are facing the south side of a white house. There is no door here, and all the windows are boarded.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
23,Squeaky Room,You are in a small room. Strange squeaky sounds may be heard coming from the passage at the north end. You may also escape to the south.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
178,Stone Barrow,You are standing in front of a massive stone barrow. The path that brought you here continues to the east.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
51,Strange Passage,"This is a long passage. To the west is one entrance. On the east, there is an old wooden door, with a large iron lock.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
48,Stream,"You are on the gently flowing stream. The upstream route is too narrow to navigate, and the downstream route is invisible due to twisting walls. There is a narrow beach to land on.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
49,Stream View,You are standing on a path beside a gently flowing stream. The path travels to the north and the east.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
94,Studio,"This appears to have been an artist's studio. The walls and floors are splattered with paints of 69 different colors. Strangely enough, nothing of value is hanging here. At the south end of the room is an open door (also covered with paint). A dark and narrow chimney leads up from a fireplace.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
220,Temple,"This is the north end of a large temple. On the east wall is an ancient inscription, probably a prayer in a long forgotten language. Below the prayer is a staircase leading down.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
206,Timber Room,"This is a long and narrow passage, which is cluttered with broken timbers. A low narrow crack runs to the west.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
105,Torch Room,This is a large room with a prominent doorway leading to a down staircase. Above you is a large dome. Up around the edge of the dome (20 feet up) is a wooden railing. In the center of the room sits a white marble pedestal.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
190,Treasure Room,"This is a large room, whose east wall is solid granite. A number of discarded bags, which crumble at your touch, litter the floor. Although empty, the bags have a distinctly 'bank-loss' smell about them.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
102,Troll Room,This is a small room with passages to the east and south and a forbidding hole leading west. Bloodstains and deep scratches (perhaps made by an axe) mar the walls.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
42,Twisting Passage,This is a winding passage. It seems that there are only exits on the east and north.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
88,Up a Tree,You are about 10 feet above the ground nestled among some large branches. The nearest branch above you is above your reach. Beside you on the branch is a small bird's nest.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
180,West of House,"You are standing in an open field west of a white house, with a boarded front door. There is a small mailbox here.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
32,White Cliffs Beach,"You are on a rocky, narrow strip of beach beside the Cliffs. A narrow path leads north along the shore.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
33,White Cliffs Beach,"You are on a narrow strip of beach which runs along the base of the White Cliffs. The river, quite cold and deep, runs past at this point.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
43,Winding Passage,This is a winding passage. It seems that there are only exits on the east and north.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"